0|1|2|3
Al Ameen Islamic Energy Fund|Shariah Compliant Equity|December 13, 2019|377,025
Al Ameen Islamic Sovereign Fund|Shariah Compliant Income|November 07, 2010|2,929,615
Al Ameen Shariah Stock Fund|Shariah Compliant Equity|December 24, 2006|9,400,598
Al Ameen Special Savings Fund (AISSP II)|Shariah Compliant Capital Protected - Income|March 11, 2020|136,605
UBL Active Principal Preservation Plan III|Fund of Funds - CPPI|October 24, 2018|42,563
UBL Asset Allocation Fund|Asset Allocation|August 20, 2013|892,117
UBL Cash Fund|Money Market|September 23, 2019|4,428,848
UBL Financial Sector Fund|Equity|April 06, 2018|896,986
UBL Government Securities Fund|Income|July 27, 2011|2,412,239
UBL Growth & Income Fund (Formerly: United Growth & Income Fund)|Aggressive Fixed Income|March 02, 2006|1,898,407
UBL Income Opportunity Fund (UIOF) (Formerly: UBL Financial Sector Bond Fund)|Income|March 29, 2013|2,897,238
UBL Liquidity Plus Fund|Money Market|June 21, 2009|23,849,756
UBL Money Market Fund|Money Market|October 13, 2010|2,731,411
UBL Special Savings Plan I|Capital Protected - Income|November 09, 2018|279,587
UBL Special Savings Plan II|Capital Protected - Income|February 05, 2019|585,302
UBL Special Savings Plan III|Capital Protected - Income|April 17, 2019|49,469
UBL Special Savings Plan IV|Capital Protected - Income|May 30, 2019|134,390
UBL Special Savings Plan V|Capital Protected - Income|September 11, 2019|45,033
UBL Special Savings Plan VI|Capital Protected - Income|August 05, 2019|109,926
UBL Special Savings Plan VIII|Capital Protected - Income|February 10, 2020|139,038
UBL Stock Advantage Fund|Equity|August 04, 2006|8,206,887
Sub Total|92,575,827||
Grand Total|1,028,072,680||
0|1|2|3|4
Fund Name|Sub Funds|Category|Inception Date|August 2021 ( Rupees in '000 )
ABL Asset Management Company Limited||||
ABL Islamic Pension Fund||VPS-Shariah Compliant Debt|August 20, 2014|61,996
Sub Funds Total|61,996|||
ABL Islamic Pension Fund||VPS-Shariah Compliant Equity|August 20, 2014|117,385
ABL Islamic Pension Fund||VPS-Shariah Compliant Money Market|August 20, 2014|79,159
ABL Pension Fund||VPS-Debt|August 20, 2014|151,846
Sub Funds Total|348,390|||
ABL Pension Fund||VPS-Equity|August 20, 2014|162,024
ABL Pension Fund||VPS-Money Market|August 20, 2014|135,818
Sub Funds Total|297,842|||
Sub Total|708,228|||
Al Meezan Investment Management Limited||||
Meezan Tahaffuz Pension Fund||VPS-Shariah Compliant Commodities / Gold|August 04, 2016|121,370
Sub Funds Total|121,370|||
Meezan Tahaffuz Pension Fund||VPS-Shariah Compliant Debt|June 28, 2007|4,433,065
Meezan Tahaffuz Pension Fund||VPS-Shariah Compliant Equity|June 28, 2007|5,609,825
Meezan Tahaffuz Pension Fund||VPS-Shariah Compliant Money Market|June 28, 2007|3,421,540
Sub Funds Total|13,464,430|||
Sub Total|13,585,800|||
Alfalah GHP Investment Management Limited||||
Alfalah GHP Islamic Pension Fund||VPS-Shariah Compliant Debt|November 08, 2016|68,866
Sub Funds Total|68,866|||
Alfalah GHP Islamic Pension Fund||VPS-Shariah Compliant Equity|November 08, 2016|81,171
Alfalah GHP Islamic Pension Fund||VPS-Shariah Compliant Money Market|November 08, 2016|49,591
Alfalah GHP Pension Fund||VPS-Debt|November 08, 2016|64,532
Sub Funds Total|195,294|||
Alfalah GHP Pension Fund||VPS-Equity|November 08, 2016|56,865
Alfalah GHP Pension Fund||VPS-Money Market|November 08, 2016|80,004
Sub Funds Total|136,869|||
Sub Total|401,029|||
Atlas Asset Management Limited||||
Atlas Pension Fund||VPS-Debt|June 28, 2007|515,132
Sub Funds Total|515,132|||
Atlas Pension Fund||VPS-Equity|June 28, 2007|573,356
Atlas Pension Fund||VPS-Money Market|June 28, 2007|570,495
Atlas Pension Islamic Fund||VPS-Shariah Compliant Debt|November 06, 2007|461,831
Sub Funds Total|1,605,682|||
Atlas Pension Islamic Fund||VPS-Shariah Compliant Equity|November 06, 2007|613,645
Atlas Pension Islamic Fund||VPS-Shariah Compliant Money Market|November 06, 2007|595,993
Sub Funds Total|1,209,638|||
Sub Total|3,330,452|||
HBL Asset Management Limited||||
HBL Islamic Pension Fund||VPS-Shariah Compliant Debt|December 15, 2011|87,243
Sub Funds Total|87,243|||
HBL Islamic Pension Fund||VPS-Shariah Compliant Equity|December 15, 2011|197,135
HBL Islamic Pension Fund||VPS-Shariah Compliant Money Market|December 15, 2011|62,679
HBL Pension Fund||VPS-Debt|December 15, 2011|195,630
Sub Funds Total|455,444|||
HBL Pension Fund||VPS-Equity|December 15, 2011|217,961
HBL Pension Fund||VPS-Money Market|December 15, 2011|277,164
Sub Funds Total|495,125|||
Sub Total|1,037,812|||
JS Investments Limited||||
JS Islamic Pension Savings Fund||VPS-Shariah Compliant Debt|March 17, 2008|83,252
Sub Funds Total|83,252|||
JS Islamic Pension Savings Fund||VPS-Shariah Compliant Equity|March 17, 2008|132,096
JS Islamic Pension Savings Fund||VPS-Shariah Compliant Money Market|March 17, 2008|85,593
JS Pension Savings Fund||VPS-Debt|June 25, 2007|239,460
Sub Funds Total|457,148|||
JS Pension Savings Fund||VPS-Equity|June 25, 2007|219,635
JS Pension Savings Fund||VPS-Money Market|June 25, 2007|260,783
Sub Funds Total|480,419|||
Sub Total|1,020,818|||
MCB-Arif Habib Savings and Investments Limited||||
Alhamra Islamic Pension Fund||VPS-Shariah Compliant Debt|November 02, 2007|352,160
Sub Funds Total|352,160|||
Alhamra Islamic Pension Fund||VPS-Shariah Compliant Equity|November 02, 2007|755,194
Alhamra Islamic Pension Fund||VPS-Shariah Compliant Money Market|November 02, 2007|289,837
Pakistan Pension Fund||VPS-Debt|June 27, 2007|531,767
Sub Funds Total|1,576,798|||
Pakistan Pension Fund||VPS-Equity|June 27, 2007|973,978
Pakistan Pension Fund||VPS-Money Market|June 27, 2007|551,021
Sub Funds Total|1,524,999|||
Sub Total|3,453,957|||
National Investment Trust Limited||||
NIT Islamic Pension Fund||VPS-Shariah Compliant Debt|June 19, 2015|121,460
Sub Funds Total|121,460|||
NIT Islamic Pension Fund||VPS-Shariah Compliant Equity|June 19, 2015|144,668
NIT Islamic Pension Fund||VPS-Shariah Compliant Money Market|June 19, 2015|120,705
NIT Pension Fund||VPS-Commodities / Gold|June 19, 2015|128,010
Sub Funds Total|393,383|||
NIT Pension Fund||VPS-Debt|June 19, 2015|133,079
NIT Pension Fund||VPS-Equity|June 19, 2015|96,696
NIT Pension Fund||VPS-Money Market|June 19, 2015|149,552
Sub Funds Total|379,327|||
Sub Total|894,170|||
NBP Fund Management Limited (Formerly: NBP Fullerton Asset Management Limited)||||
NAFA Islamic Pension Fund||VPS-Shariah Compliant Debt|July 02, 2013|711,702
Sub Funds Total|711,702|||
NAFA Islamic Pension Fund||VPS-Shariah Compliant Equity|July 02, 2013|1,699,857
NAFA Islamic Pension Fund||VPS-Shariah Compliant Money Market|July 02, 2013|1,114,255
NAFA Pension Fund||VPS-Debt|July 02, 2013|616,365
Sub Funds Total|3,430,477|||
NAFA Pension Fund||VPS-Equity|July 02, 2013|1,167,405
NAFA Pension Fund||VPS-Money Market|July 02, 2013|1,469,542
Sub Funds Total|2,636,947|||
Sub Total|6,779,126|||
UBL Fund Managers Limited||||
Al Ameen Islamic Retirement Savings Fund||VPS-Shariah Compliant Debt|May 19, 2010|1,002,188
Sub Funds Total|1,002,188|||
Al Ameen Islamic Retirement Savings Fund||VPS-Shariah Compliant Equity|May 19, 2010|1,790,814
Al Ameen Islamic Retirement Savings Fund||VPS-Shariah Compliant Money Market|May 19, 2010|1,234,272
UBL Retirement Saving Fund||VPS-Commodities / Gold|April 21, 2014|15,477
Sub Funds Total|3,040,563|||
UBL Retirement Saving Fund||VPS-Debt|May 19, 2010|970,090
UBL Retirement Saving Fund||VPS-Equity|May 19, 2010|1,710,248
UBL Retirement Saving Fund||VPS-Money Market|May 19, 2010|1,113,329
Sub Funds Total|3,793,667|||
Sub Total|7,836,418|||
Grand Total|39,047,810|||
0|1|2|3
Fund Name|Category|Inception Date|August 2021 ( Rupees in '000 )
ABL Asset Management Company Limited|||
ABL Islamic Dedicated Stock Fund|Shariah Compliant Dedicated Equity|December 19, 2016|0
Al Meezan Investment Management Limited|||
Meezan Dedicated Equity Fund|Shariah Compliant Dedicated Equity|October 06, 2017|1
Sub Total|1||
Alfalah GHP Investment Management Limited|||
Alfalah GHP Islamic Dedicated Equity Fund|Shariah Compliant Dedicated Equity|May 25, 2017|0
Atlas Asset Management Limited|||
Atlas Islamic Dedicated Stock Fund|Shariah Compliant Dedicated Equity|January 10, 2019|97,581
Sub Total|97,581||
Faysal Asset Management Limited|||
Faysal Islamic Dedicated Equity Fund|Shariah Compliant Dedicated Equity|January 03, 2020|98
Sub Total|98||
HBL Asset Management Limited|||
HBL Islamic Dedicated Equity Fund|Shariah Compliant Dedicated Equity|October 01, 2018|0
Sub Total|0||
JS Investments Limited|||
JS Islamic Dedicated Equity Fund|Shariah Compliant Dedicated Equity|March 21, 2018|4,013
Sub Total|4,013||
NBP Fund Management Limited (Formerly: NBP Fullerton Asset Management Limited)|||
NBP Islamic Active Allocation Equity Fund|Shariah Compliant Dedicated Equity|January 19, 2016|0
UBL Fund Managers Limited|||
Al Ameen Islamic Dedicated Equity Fund|Shariah Compliant Dedicated Equity|December 15, 2015|7,245
UBL Dedicated Equity Fund|Dedicated Equity|May 29, 2018|30,715
Sub Total|37,960||
Grand Total|139,653||
0|1|2|3
Fund Name|Category|Inception Date|August 2021 ( Rupees in '000 )
Al Meezan Investment Management Limited|||
Meezan Pakistan ETF|Shariah Compliant Exchange Traded Fund|October 06, 2020|74,376
Sub Total|74,376||
National Investment Trust Limited|||
NIT Pakistan Gateway Exchange Traded Fund|Exchange Traded Fund|March 21, 2020|49,171
Sub Total|49,171||
NBP Fund Management Limited (Formerly: NBP Fullerton Asset Management Limited)|||
NBP Pakistan Growth Exchange Traded Fund|Exchange Traded Fund|October 06, 2020|12,595
Sub Total|12,595||
UBL Fund Managers Limited|||
UBL Pakistan Enterprise Exchange Traded Fund|Exchange Traded Fund|March 24, 2020|47,333
Sub Total|47,333||
Grand Total|183,475||
